ID,site name,latitude,longitude,country
ae_abudhabi_abu_dhabi,"AE Abu Dhabi",24.476111,54.328889,"United Arab Emirates"
ae_abudhabi_al_ain,"AE Abu Dhabi Al Ain",24.242167,55.705167,"United Arab Emirates"
ae_abudhabi_al_dhafra,"AE Abu Dhabi Al Dhafra",24.254278,54.549667,"United Arab Emirates"
ae_abudhabi_al_khaznah,"AE Abu Dhabi Al Khaznah",24.158611,55.100556,"United Arab Emirates"
ae_abudhabi_al_qlaa,"AE Abu Dhabi Al Qlaa",24.133333,53.033333,"United Arab Emirates"
ae_abudhabi_dhabi,"AE Abu Dhabi",24.480556,54.382778,"United Arab Emirates"
ae_abudhabi_eastern_mangroves,"AE Abu Dhabi Eastern Mangroves",24.450883,54.428792,"United Arab Emirates"
ae_abudhabi_jabal_hafeet,"AE Abu Dhabi Jabal Hafeet",24.058217,55.776383,"United Arab Emirates"
ae_abudhabi_maarco,"AE Abu Dhabi MAARCO",24.700333,54.658833,"United Arab Emirates"
ae_abudhabi_masdar_institute,"AE Abu Dhabi Masdar Institute",24.441600,54.616600,"United Arab Emirates"
ae_abudhabi_mezaira,"AE Abu Dhabi Mezaira",23.104520,53.754660,"United Arab Emirates"
ae_abudhabi_mussafa,"AE Abu Dhabi Mussafa",24.371667,54.466667,"United Arab Emirates"
ae_abudhabi_smart,"AE Abu Dhabi SMART",24.249321,55.612064,"United Arab Emirates"
ae_dalma,"AE Dalma",24.502222,52.331667,"United Arab Emirates"
ae_dubay_saih_salam,"AE Dubay Saih Salam",24.829467,55.312783,"United Arab Emirates"
ae_fujayrah_dhadnah,"AE Fujayrah Dhadnah",25.512817,56.324717,"United Arab Emirates"
ae_sir_bu_nuair,"AE Sir Bu Nuair",25.216667,54.233333,"United Arab Emirates"
ae_ummalqaywayn_umm_al_quwain,"AE Umm Al Quwain",25.533333,55.658333,"United Arab Emirates"
ae_zakum_field,"AE Zakum Field",24.835267,53.613167,"United Arab Emirates"
af_kandahar_kandahar,"AF Kandahar",31.508611,65.847778,"Afghanistan"
af_kandahar_kandahar_af,"AF Kandahar 2",31.502661,65.850136,"Afghanistan"
aq_aat_progress,"AQ AAT Progress",-69.377780,76.388610,"Antarctica"
aq_antarctica_mcmurdo_dry_valleys,"AQ Antarctica McMurdo Dry Valleys",-77.625000,162.883331,"Antarctica"
aq_antarctica_vechernaya_hill,"AQ Antarctica Vechernaya Hill",-67.660000,46.158000,"Antarctica"
aq_arm_mcmurdo,"AQ ARM McMurdo",-77.848889,166.729722,"Antarctica"
aq_arm_wais,"AQ ARM WAIS",-79.470556,-112.083333,"Antarctica"
aq_eastantarctica_utsteinen,"AQ East Antarctica Utsteinen",-71.950000,23.333330,"Antarctica"
aq_king_sejong_station_site,"AQ King Sejong Station site",-62.232115,-58.804321,"Antarctica"
aq_marambio,"AQ Marambio",-64.239996,-56.625244,"Antarctica"
aq_novolazarevskaya,"AQ Novolazarevskaya",-70.766667,11.833333,"Antarctica"
aq_palmer_station_lter_pal1,"AQ Palmer Station LTER",-64.774170,-64.054500,"Antarctica"
ar_buenos_aires_carlos_casares_agriculture,"AR Buenos Aires Carlos Casares agriculture",-35.621000,-61.318100,"Argentina"
ar_buenos_aires_carlos_casares_grassland,"AR Buenos Aires Carlos Casares grassland",-35.924400,-61.185500,"Argentina"
ar_buenosaires_balcarce_ba,"Balcarce BA",-37.759600,-58.302400,"Argentina"
ar_buenosaires_ceilap-ba,"AR Buenos Aires CEILAP-BA",-34.555420,-58.506410,"Argentina"
ar_buenosaires_celpa_mar_chiquita,"AR Buenos Aires CELPA Mar Chiquita",-37.702800,-57.419200,"Argentina"
ar_buenosaires_romano_mar_chiquita_ba,"Romano Mar Chiquita BA",-37.550800,-57.297200,"Argentina"
ar_chubut_ceilap_comodoro,"AR Chubut CEILAP Comodoro",-45.792153,-67.462875,"Argentina"
ar_chubut_trelew,"AR Chubut Trelew",-43.249806,-65.308611,"Argentina"
ar_ciudaddebuenosaires_ceilap_utn,"AR Ciudadde Buenos Aires CEILAP UTN",-34.659722,-58.468611,"Argentina"
ar_cordoba_cordoba_cett,"AR Cordoba CETT",-31.524075,-64.463682,"Argentina"
ar_cordoba_pilar,"AR Cordoba Pilar",-31.667410,-63.882600,"Argentina"
ar_corrientes_virasoro,"AR Corrientes Virasoro",-28.239500,-56.188600,"Argentina"
ar_neuquen_ceilap_neuquen,"AR Neuquen CEILAP Neuquen",-38.952220,-68.136660,"Argentina"
ar_riogallegos_ceilap-rg,"AR Rio Gallegos CEILAP-RG",-51.600500,-69.319250,"Argentina"
ar_rionegro_ceilap_bariloche,"AR Rio Negro CEILAP Bariloche",-41.146944,-71.163333,"Argentina"
ar_sanjuan_casleo,"AR San Juan CASLEO",-31.799167,-69.306111,"Argentina"
ar_sanluis_san_luis,"AR San Luis",-33.464800,-66.459800,"Argentina"
ar_tierradelfuego_rio_moat_bog,"AR Tierra del Fuego Rio Moat bog",-54.973300,-66.733500,"Argentina"
ar_tierradelfuego_rio_pipo_bog,"AR Tierra del Fuego Rio Pipo bog",-54.826852,-68.454856,"Argentina"
as_american_samoa,"AS American Samoa",-14.247200,-170.564400,"American Samoa"
at_burgenland_rosalia_demonstration_forest,"AT Burgenland Rosalia demonstration forest",47.702700,16.301500,"Austria"
at_carinthia_kanzelhoehe,"AT Carinthia Kanzelhoehe",46.677232,13.901269,"Austria"
at_innsbruck_hauptbibliothek,"AT Innsbruck Hauptbibliothek",47.264096,11.385816,"Austria"
at_karnten_gerlitzen,"AT Karnten Gerlitzen",46.678333,13.906667,"Austria"
at_niederosterreich_vienne_univie,"AT Niederosterreich Vienne UNIVIE",48.221667,16.355833,"Austria"
at_oberosterreich_hllengebirge,"AT Oberosterreich Hllengebirge",47.803333,13.591389,"Austria"
at_salzburg_berchtesgaden,"AT Salzburg Berchtesgaden",47.616667,12.583333,"Austria"
at_stubaital_neustift,"AT Stubaital Neustift",47.116700,11.317500,"Austria"
at_stubaital_neustift_2,"AT Stubaital Neustift",47.116669,11.317500,"Austria"
at_styria_gumpenstein,"AT Styria Gumpenstein",47.493900,14.100800,"Austria"
at_tirol_langenfeld,"AT Tirol Langenfeld",47.063830,10.964519,"Austria"
at_tirol_langenfeld_2,"AT Tirol Langenfeld",47.061221,10.963454,"Austria"
at_tirol_leutasch,"AT Tirol Leutasch",47.378870,11.165581,"Austria"
at_tirol_leutasch_2,"AT Tirol Leutasch",47.378036,11.162780,"Austria"
at_tirol_neustiftstubai_valley,"AT Tirol Neustift Stubai Valley",47.116200,11.320350,"Austria"
at_tirol_rotholz,"AT Tirol Rotholz",47.394722,11.804722,"Austria"
at_tirol_schlitters,"AT Tirol Schlitters",47.368200,11.856170,"Austria"
at_tirol_stubai_abandoned,"AT Tirol Stubai Abandoned",47.125280,11.289440,"Austria"
at_tirol_stubai_meadow,"AT Tirol Stubai Meadow",47.128890,11.305830,"Austria"
at_tirol_stubai_pasture,"AT Tirol Stubai Pasture",47.136940,11.303610,"Austria"
at_tirol_stubai_valley,"AT Tirol Stubai Valley",47.116667,11.283333,"Austria"
at_tyrol_fuegen,"AT Tyrol Fuegen",47.367374,11.854709,"Austria"
at_tyrol_mieming,"AT Tyrol Mieming",47.316564,10.970089,"Austria"
at_tyrol_scharnitz,"AT Tyrol Scharnitz",47.387291,11.247935,"Austria"
at_vienna_arsenal,"AT Vienna Arsenal",48.181838,16.390851,"Austria"
at_wien_vienna_boku,"AT Wien Vienna BOKU",48.237860,16.331610,"Austria"
au_australiancapitalterritory_canberra,"AU Australian Capital Territory Canberra",-35.271300,149.111100,"Australia"
au_newsouthwales_australia_yanco_site,"AU New South Wales Yanco site",-34.988282,146.291606,"Australia"
au_newsouthwales_coleambally,"AU New South Wales Coleambally",-34.810100,146.064400,"Australia"
au_newsouthwales_coleambally_irrigation_rice,"AU New South Wales Coleambally Irrigation Rice",-34.925200,145.821200,"Australia"
au_newsouthwales_cumberland_plains,"AU New South Wales Cumberland Plains",-33.613300,150.722500,"Australia"
au_newsouthwales_cumberland_plains_2,"AU New South Wales Cumberland Plains",-33.615200,150.723600,"Australia"
au_newsouthwales_fowlers_gap,"AU New South Wales Fowlers Gap",-31.086300,141.700820,"Australia"
au_newsouthwales_janina,"AU New South Wales Janina",-30.076667,144.136389,"Australia"
au_newsouthwales_newcastle,"AU New South Wales Newcastle",-32.884200,151.728900,"Australia"
au_newsouthwales_nimmo,"AU New South Wales Nimmo",-36.215833,148.552778,"Australia"
au_newsouthwales_tumbarumba,"AU New South Wales Tumbarumba",-35.655556,148.151944,"Australia"
au_newsouthwales_tumbarumba_2,"AU New South Wales Tumbarumba",-35.656600,148.151700,"Australia"
au_newsouthwales_tumbarumba_aeronet,"AU New South Wales Tumbarumba",-35.708300,147.949900,"Australia"
au_newsouthwales_uardry,"AU New South Wales Uardry",-34.390000,145.300000,"Australia"
au_newsouthwales_yarramundi_control_paddock,"AU New South Wales Yarramundi Control Paddock",-33.613469,150.734864,"Australia"
au_newsouthwales_yarramundi_irrigated_paddock,"AU New South Wales Yarramundi Irrigated Paddock",-33.620812,150.763284,"Australia"
au_northernterritory_adelaide_river,"AU Northern Territory Adelaide River",-13.076900,131.117800,"Australia"
au_northernterritory_alice_springs,"AU Northern Territory Alice Springs",-22.283000,133.249000,"Australia"
au_northernterritory_daly_river_cleared,"AU Northern Territory Daly River Cleared",-14.134283,131.384514,"Australia"
au_northernterritory_daly_river_cleared_1,"AU Northern Territory Daly River Cleared",-14.159300,131.388100,"Australia"
au_northernterritory_daly_river_savanna,"AU Northern Territory Daly River Savanna",-14.063300,131.318100,"Australia"
au_northernterritory_dry_river,"AU Northern Territory Dry River",-15.258800,132.370600,"Australia"
au_northernterritory_fogg_dam,"AU Northern Territory Fogg Dam",-12.542533,131.306883,"Australia"
au_northernterritory_fogg_dam_2,"AU Northern Territory Fogg Dam",-12.545200,131.307200,"Australia"
au_northernterritory_howard_springs,"AU Northern Territory Howard Springs",-12.824444,131.023056,"Australia"
au_northernterritory_howard_springs_2,"AU Northern Territory Howard Springs 2",-12.494300,131.152300,"Australia"
au_northernterritory_jabiru,"AU Northern Territory Jabiru",-12.660700,132.893100,"Australia"
au_northernterritory_litchfield,"AU Northern Territory Litchfield",-13.179042,130.794546,"Australia"
au_northernterritory_red_dirt_melon_farm,"AU Northern Territory Red Dirt Melon Farm",-14.563600,132.477600,"Australia"
au_northernterritory_sturt_plains,"AU Northern Territory Sturt Plains",-17.150800,133.350300,"Australia"
au_northernterritory_ti_tree_east,"AU Northern Territory Ti Tree East",-22.287000,133.640000,"Australia"
au_qld_lucinda,"AU QLD Lucinda",-18.519800,146.386100,"Australia"
